row_id,卷,部类,部类序号,部类附名,作者,词条,注文,注文類型,注文类型,embedding_text,embedding_chars,原始注文,解析注文,注文解析方式,注文解析来源行,注文互见目标,部类文本,词条文本,注文文本,整体语义文本,词条可用,注文可用,部类可用,词条忽略原因,实际词条权重,实际注文权重,实际部类权重,注文類型字段,注文類型原文,注文類型规范,注文计算策略,典籍书名,典籍书名_归一,典籍书名与诗注重合,典籍书名与共同典源重合
0,一,天,一,,,高明柔克,高明，天也。柔克，寒暑不干。,解釋文意,解釋文意,[天]高明柔克高明，天也。柔克，寒暑不干。,21,高明，天也。柔克，寒暑不干。,高明，天也。柔克，寒暑不干。,original,,,天,高明柔克,高明，天也。柔克，寒暑不干。,,True,True,True,,0.5,0.3,0.2,注文類型,解釋文意,解释文意,weighted_channels,,,,
1,一,天,一,,,陰騭下人,言天默定下人之命。,解釋文意,解釋文意,[天]陰騭下人言天默定下人之命。,16,言天默定下人之命。,言天默定下人之命。,original,,,天,陰騭下人,言天默定下人之命。,,True,True,True,,0.5,0.3,0.2,注文類型,解釋文意,解释文意,weighted_channels,,,,
2,一,天,一,,,天尊,地卑。,對仗,對仗,[天]天尊地卑。,8,地卑。,地卑。,original,,,天,天尊,地卑。,,True,True,True,,0.5,0.3,0.2,注文類型,對仗,对仗,parallel_note_focused,,,,
3,一,天,一,,,成象,在天成象。,出處原文,出處原文,[天]成象在天成象。,10,在天成象。,在天成象。,original,,,天,成象,在天成象。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
4,一,天,一,,,觀天之道,而四時不忒。,補足下文,補足下文,[天]觀天之道而四時不忒。,13,而四時不忒。,而四時不忒。,original,,,天,觀天之道,而四時不忒。,觀天之道而四時不忒。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
5,一,天,一,,,天垂象,見吉凶，聖人則之。,補足下文,補足下文,[天]天垂象見吉凶，聖人則之。,15,見吉凶，聖人則之。,見吉凶，聖人則之。,original,,,天,天垂象,見吉凶，聖人則之。,天垂象見吉凶，聖人則之。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
6,一,天,一,,,天行健,,,,[天]天行健,6,,,empty,,,天,天行健,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
7,一,天,一,,,資始,大哉乾元，萬物資始。,出處原文,出處原文,[天]資始大哉乾元，萬物資始。,15,大哉乾元，萬物資始。,大哉乾元，萬物資始。,original,,,天,資始,大哉乾元，萬物資始。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
8,一,天,一,,,上浮為天,,,,[天]上浮為天,7,,,empty,,,天,上浮為天,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
9,一,天,一,,,下降,天氣下降。,出處原文,出處原文,[天]下降天氣下降。,10,天氣下降。,天氣下降。,original,,,天,下降,天氣下降。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
10,一,天,一,,,高遠,窮高極遠。,補足下文,補足下文,[天]高遠窮高極遠。,10,窮高極遠。,窮高極遠。,original,,,天,高遠,窮高極遠。,高遠窮高極遠。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
11,一,天,一,,,貞觀,天地之道。,補足下文,補足下文,[天]貞觀天地之道。,10,天地之道。,天地之道。,original,,,天,貞觀,天地之道。,貞觀天地之道。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
12,一,天,一,,,無私不息,者天。,補足下文,補足下文,[天]無私不息者天。,10,者天。,者天。,original,,,天,無私不息,者天。,無私不息者天。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
13,一,天,一,,,清明,象天。,對仗,對仗,[天]清明象天。,8,象天。,象天。,original,,,天,清明,象天。,,True,True,True,,0.5,0.3,0.2,注文類型,對仗,对仗,parallel_note_focused,,,,
14,一,天,一,,,天何言哉,四時行焉。,補足下文,補足下文,[天]天何言哉四時行焉。,12,四時行焉。,四時行焉。,original,,,天,天何言哉,四時行焉。,天何言哉四時行焉。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
15,一,天,一,,,不可階而升,,,,[天]不可階而升,8,,,empty,,,天,不可階而升,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
16,一,天,一,,,天秉陽,垂日星。,補足下文,補足下文,[天]天秉陽垂日星。,10,垂日星。,垂日星。,original,,,天,天秉陽,垂日星。,天秉陽垂日星。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
17,一,天,一,,,無私覆,,,,[天]無私覆,6,,,empty,,,天,無私覆,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
18,一,天,一,,,高也，明也，悠也，久也。,天之道。,補足下文,補足下文,[天]高也，明也，悠也，久也。天之道。,19,天之道。,天之道。,original,,,天,高也，明也，悠也，久也。,天之道。,高也，明也，悠也，久也。天之道。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
19,一,天,一,,,昭昭。,今夫天昭昭之多，及其無窮，日月星辰繫焉。萬物覆焉。注云：昭昭，小明也。本生小而成大。,出處原文，解釋文意,出處原文，解釋文意,[天]昭昭。今夫天昭昭之多，及其無窮，日月星辰繫焉。萬物覆焉。注云：昭昭，小明也。本生小而成大。,48,今夫天昭昭之多，及其無窮，日月星辰繫焉。萬物覆焉。注云：昭昭，小明也。本生小而成大。,今夫天昭昭之多，及其無窮，日月星辰繫焉。萬物覆焉。注云：昭昭，小明也。本生小而成大。,original,,,天,昭昭。,今夫天昭昭之多，及其無窮，日月星辰繫焉。萬物覆焉。注云：昭昭，小明也。本生小而成大。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文，解釋文意,出处原文；解释文意,weighted_channels,,,,
20,一,天,一,,,覆盆。,之狀。,補足下文,補足下文,[天]覆盆。之狀。,9,之狀。,之狀。,original,,,天,覆盆。,之狀。,覆盆。之狀。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
21,一,天,一,,,圓蓋。,之形。,補足下文,補足下文,[天]圓蓋。之形。,9,之形。,之形。,original,,,天,圓蓋。,之形。,圓蓋。之形。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
22,一,天,一,,,轉轂,之狀。,補足下文,補足下文,[天]轉轂之狀。,8,之狀。,之狀。,original,,,天,轉轂,之狀。,轉轂之狀。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
23,一,天,一,,,設位,,,,[天]設位,5,,,empty,,,天,設位,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
24,一,天,一,,,石補。,女媧氏鍊五色石補天。,出處原文,出處原文,[天]石補。女媧氏鍊五色石補天。,16,女媧氏鍊五色石補天。,女媧氏鍊五色石補天。,original,,,天,石補。,女媧氏鍊五色石補天。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
25,一,天,一,,,惡盈。,天道。,對仗,對仗,[天]惡盈。天道。,9,天道。,天道。,original,,,天,惡盈。,天道。,,True,True,True,,0.5,0.3,0.2,注文類型,對仗,对仗,parallel_note_focused,,,,
26,一,天,一,,,易知,,,,[天]易知,5,,,empty,,,天,易知,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
27,一,天,一,,,立天之道,曰陰與陽。,補足下文,補足下文,[天]立天之道曰陰與陽。,12,曰陰與陽。,曰陰與陽。,original,,,天,立天之道,曰陰與陽。,立天之道曰陰與陽。,True,True,True,,0.5,0.3,0.2,注文類型,補足下文,补足下文,headword_note_combined,,,,
28,一,天,一,,,倬彼昭回,,,,[天]倬彼昭回,7,,,empty,,,天,倬彼昭回,,,True,False,True,,0.714286,0.0,0.285714,注文類型,,,weighted_channels_untyped_fallback,,,,
29,一,天,一,,,天步,艱難,對仗,對仗,[天]天步艱難,7,艱難,艱難,original,,,天,天步,艱難,,True,True,True,,0.5,0.3,0.2,注文類型,對仗,对仗,parallel_note_focused,,,,
30,一,天,一,,,焉知,裨灶焉知天道。,出處原文,出處原文,[天]焉知裨灶焉知天道。,12,裨灶焉知天道。,裨灶焉知天道。,original,,,天,焉知,裨灶焉知天道。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
31,一,天,一,,,恆象,天事恆象。,出處原文,出處原文,[天]恆象天事恆象。,10,天事恆象。,天事恆象。,original,,,天,恆象,天事恆象。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
32,一,天,一,,,以會天位,馮相氏辨其敘事，以會天位。,出處原文,出處原文,[天]以會天位馮相氏辨其敘事，以會天位。,20,馮相氏辨其敘事，以會天位。,馮相氏辨其敘事，以會天位。,original,,,天,以會天位,馮相氏辨其敘事，以會天位。,,True,True,True,,0.5,0.3,0.2,注文類型,出處原文,出处原文,weighted_channels,,,,
