编号,题目,诗类,作年,句子,similarity,卷,部类,词条,注文,poem_common_flag,poem_common_count,fragment_common_flag,fragment_common_count,fragment_hit_overlap,fragment_hit_fragments
1580,求分司東都寄牛相公十韻,律詩,824,同載而歸,0.94677734375,三,車,同載而歸,文王得呂望為師，乃同載而歸。,False,0,False,0,False,
0418,初與元九别後忽夢見之及寤而書適至兼寄桐花詩悵然感懷因以此寄,感傷,810,顛倒著衣裳,0.89111328125,一,晨夜,顛倒衣裳,顛之倒之。,False,0,False,0,False,
2688,香山居士寫真詩,格詩,842,亦變作桑田,0.86767578125,二,海,變桑田,《神仙傳》曰：「東海凡三變為桑田。」,False,0,False,0,False,
1481,中隱,格體,829,大隱住朝市,0.86181640625,七,隠逸,朝市,大隱朝市,False,0,False,0,False,
2737,池鶴八絶句烏贈鶴,律詩,,琴曲有《烏夜啼》﹑《别鶴怨》,0.8603515625,十八,琴,《陽春》、《白雪》、《綠水》、《悲風》、《幽蘭》、《別鶴》、《烏夜啼》,並琴曲名。,False,0,False,0,False,
2602,宣州崔大夫閣老忽以近詩數十首見示吟諷之下竊有所喜因成長句寄贈郡齋,律詩,840,“窗中列遠岫,0.8505859375,三,屋室,窗中列,遠岫。,False,0,False,0,False,
0644,酬趙秀才贈新登科諸先輩,雜律詩,807,君看名在丹臺者,0.84033203125,二十六,道士,名在丹臺,紫陽真人，周季通入蒙山，遇羨門子。再拜乞長生訣，羨門子曰：「名在丹臺、玉室中，何憂不仙？,False,0,False,0,False,
0438,照鏡,感傷,,皎皎青銅鏡,0.83154296875,四,鏡,青銅鏡,蕭方等《三十國春秋》曰：「慕容垂攻鄴，符丕遣其從第，就請救，乃遺謝玄青銅鏡，黃金婉轉，繩等為信。,False,0,False,0,False,
2688,香山居士寫真詩,格詩,842,罷太子少傅,0.82470703125,二十一,少傅,少傅,漢置太子少傅。,False,0,False,0,False,
0446,寄元九,感傷,812,顦顇謫南國,0.818359375,七,美婦人,南國,曹植詩云：南國有佳人，容華若桃李。,False,0,False,0,False,
0531,招蕭處士,感傷,819,門前亦有客,0.81640625,十,好客,門有車馬客,,False,0,False,0,False,
2154,洛陽有愚叟,格詩,834,野食或烹鮮,0.81396484375,三,野,割鮮野食,,False,0,False,0,False,
1179,德宗皇帝挽歌詞四首其三,雜律詩,,業大承宗祖,0.8134765625,六,祖孫,祖業,《傳序》云：弘宣祖業。,False,0,False,0,False,
1497,朝課,格體,830,平甃白石渠,0.8134765625,二,隄渠,白渠,《漢書》：趙中大夫白公引涇水為渠。見“涇門”注。,False,0,False,0,False,
2135,吟四雖,格體,834,因疾喪明,0.8134765625,九,視,喪明,子夏喪其子，而喪其明。曾子弔之曰：吾聞朋友喪明則哭之，曾子哭，子夏亦哭曰：「天乎予之無罪也。」曾子怒曰：「商汝何無罪也。喪爾親，使人未有聞焉！喪爾子，喪爾明，爾何無罪與？」子夏投其杖，而拜之曰：「吾過矣！吾過矣！」,False,0,False,0,False,
0520,秋槿,感傷,818,女子晚婚姻,0.81005859375,六,女,晚嫁,黃公有女至美，其父常謙曰：「醜人謂實然。」故過時無聘者。,False,0,False,0,False,
2127,早夏遊宴,格體,834,已動蒲葵扇,0.80908203125,八 （凡七十九門 內二十六門附）,賢,蒲葵扇,謝安風流，時多愛慕故人，罷中宿縣，還有蒲葵扇五萬，安取中者題之，京師慕效，競市價數倍。,False,0,False,0,False,
2278,早夏遊平泉迴,律詩,834,療飢兼解渴,0.80859375,五,食,療飢,可以樂飢,False,0,False,0,False,
2698,和敏中洛下即事,律詩,841,昨日池塘春草生,0.80810546875,三十,草,池塘生春草,,False,0,False,0,False,
0394,寄江南兄弟,感傷,807,登樓東南望,0.8076171875,三,樓,登南樓,庾亮，字元規，在武昌。諸佐吏殷浩之徒，乘秋夜佳序共登南樓，不覺亮至諸人，將起避亮曰：「諸君少住，老子於此，興復不淺。」便據胡床，與浩等談詠。,False,0,False,0,False,
2134,北窗三友,格體,834,三人皆我師,0.80712890625,二十六,師,我師,三人同行，必有我師。,False,0,False,0,False,
2183,自賓客遷太子少傅分司,格詩,835,居處非蓬蒿,0.806640625,七,貧,蓬蒿,張仲蔚所居，蓬蒿沒人。,False,0,False,0,False,
2731,病中看經贈諸道侶,律詩,842,見《外臺方》,0.806640625,二十一,刺史,外臺,見《漢書》。,False,0,False,0,False,
0584,客中月,感傷,820,客從江南來,0.80615234375,十,好客,客從遠方來,,False,0,False,0,False,
0769,憶元九,雜律詩,810,相思遠不知,0.8056640625,十,相思,我思不遠,,False,0,False,0,False,
0665,送武士曹歸蜀,雜律詩,806,花落鳥嚶嚶,0.80517578125,二十九,鳥,鳥散餘花落,,False,0,False,0,False,
2644,雪暮偶與夢得同致仕裴賓客王尚書飲,律詩,841,合三百餘歲,0.8046875,二十九,狼,三百歲,《抱朴子》：白狼壽三百歲，則解暫變化為形。,False,0,False,0,False,
0235,首夏病間,閑適,811,自省於其間,0.80419921875,十三,誅罰,自省。,晉宣帝問諸葛公起居何如而使者曰罰世以上皆自省覽帝曰其能乆乎,False,0,False,0,False,
0451,歎老三首其二,感傷,,我有一握髮,0.80419921875,八 （凡七十九門 內二十六門附）,恭敬,握髮,周公下白屋之士，一飯三吐哺，一沐三握髮。,False,0,False,0,False,
2624,山中五絶句澗中魚,律詩,,海水桑田欲變時,0.80419921875,二,海,變桑田,《神仙傳》曰：「東海凡三變為桑田。」,False,0,False,0,False,
