编号,题目,诗类,作年,正文,similarity,卷,部类,词条,注文,poem_common_flag,poem_common_count,fragment_common_flag,fragment_common_count
2737,池鶴八絶句烏贈鶴,律詩,,"與君白黑太分明
縱不相親莫見輕
我每夜啼君怨别
玉徽琴裏忝同聲
琴曲有《烏夜啼》﹑《别鶴怨》",0.76416015625,十八,琴,《陽春》、《白雪》、《綠水》、《悲風》、《幽蘭》、《別鶴》、《烏夜啼》,並琴曲名。,False,0,False,0
1706,鸚鵡,律詩,826,"隴西鸚鵡到江東
養得經年觜漸紅
常恐思歸先剪翅
每因餧食暫開籠
人憐巧語情雖重
鳥憶高飛意不同
應似朱門歌舞妓
深藏牢閉後房中",0.7412109375,二十九,鸚鵡,又,漢興平元年，益州獻鸚鵡三隻，日夜食三升麻子。今穀貴此鳥無益有損。可付安西，將軍揚定國令歸本土。,False,0,False,0
0578,王夫子,感傷,818,"王夫子
送君爲一尉
東南三千五百里
道途雖遠位雖卑
月俸猶堪活妻子
男兒口讀古人書
束帶斂手來從事
近將徇祿給一家
遠則行道佐時理
行道佐時須待命
委身下位無爲耻
命苟未來且求食
官無高卑及遠邇
男兒上既未能濟天下
下又不至飢寒死
吾觀九品至一品
其間氣味都相似
紫綬朱紱青布衫
顔色不同而已矣
王夫子
别有一事欲勸君
遇酒逢春且歡喜",0.74072265625,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
2352,路逢青州王大夫赴鎮立馬贈别,律詩,835,"火旆擁金羈
書生得者稀
何勞問官職
豈不見光輝
赫赫人爭看
翩翩馬欲飛
不欺前歲尹
駐節語依依
前年春
予爲河南尹
王爲少尹",0.724609375,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
2183,自賓客遷太子少傅分司,格詩,835,"頭上漸無髮
耳間新有毫
形容逐日老
官秩隨年高
優饒又加俸
閑穩仍分曹
飲食免藜藿
居處非蓬蒿
何言家尚貧
銀榼提綠醪
勿謂身未貴
金章照紫袍
誠合知止足
豈宜更貪饕
默然心自問
於國有何勞",0.7236328125,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
1253,喜敏中及第偶示所懷,雜律詩,822,"自知羣從爲儒少
豈料詞場中第頻
桂折一枝先許我
楊穿三葉盡驚人
始予進士及第
行簡次之
敏中又次之
轉於文墨須留意
貴向煙霄早致身
莫學爾兄年五十
蹉跎始得掌絲綸",0.7216796875,十二,舉選,進士秀才。,考課令進士試時務䇿五條帖大經通四其䇿文辭順序義理愜當并帖經文過者為通帖策全通為甲第諸秀才試方䇿五條文理俱髙者為上上文髙理平理高文平為上中云云,False,0,False,0
2404,雨中聽琴者彈别鶴操,律詩,836,"雙鶴分離一何苦
連陰雨夜不堪聞
莫教遷客孀妻聽
嗟歎悲啼䛏殺君",0.71826171875,二十九,鶴,《琴操》曰：商陵牧子娶妻無子，父母出之。牧子別妻援琴而鼓之，作《別鶴操》。,,False,0,False,0
2416,無長物,律詩,836,"莫訝家居窄
無嫌活計貧
只緣無長物
始得作閑人
青竹單床簟
烏紗獨幅巾
其餘皆稱是
亦足奉吾身",0.71533203125,八 （凡七十九門 內二十六門附）,儉,生無長物,王忱見王恭六尺簟，謂有餘求之恭，即送。後忱知恭無簟，驚問之恭，曰：「我生無仗物。」,False,0,False,0
0644,酬趙秀才贈新登科諸先輩,雜律詩,807,"莫羡蓬萊鸞鶴侶
道成羽翼自生身
君看名在丹臺者
盡是人間修道人",0.71142578125,十二,舉選,進士秀才。,考課令進士試時務䇿五條帖大經通四其䇿文辭順序義理愜當并帖經文過者為通帖策全通為甲第諸秀才試方䇿五條文理俱髙者為上上文髙理平理高文平為上中云云,False,0,False,0
2018,王子晉廟,律詩,829,"子晉廟前山月明
人聞往往夜吹笙
鸞吟鳳唱聽無拍
多似霓裳散序聲",0.71142578125,十八,笙,子晉吹以鳳鳴,《列仙傳》：王子晉好吹笙，作鳳皇鳴，遊伊洛聞。道士浮丘公接之，上嵩山也。,False,0,False,0
1106,鸚鵡,雜律詩,819,"竟日語還默
中宵棲復驚
身囚緣彩翠
心苦爲分明
暮起歸巢思
春多憶侶聲
誰能拆籠破
從放快飛鳴",0.71044921875,二十九,鸚鵡,又,漢興平元年，益州獻鸚鵡三隻，日夜食三升麻子。今穀貴此鳥無益有損。可付安西，將軍揚定國令歸本土。,False,0,False,0
2135,吟四雖,格體,834,"酒酣後
歌歇時
請君添一酌
聽我吟四雖
年雖老
猶少於韋長史
命雖薄
猶勝於鄭長水
眼雖病
猶明於徐侍郎
家雖貧
猶富於郭庶子
省躬審分何僥倖
值酒逢歌且歡喜
忘榮知足委天和
亦應得盡生生理
分司同官中
韋長史績
年七十餘
郭庶子求
貧苦最甚
徐侍郎晦
因疾喪明
予爲河南尹時
見同年鄭俞
始受長水縣令
因歎四子而成此篇也",0.71044921875,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
2110,再授賓客分司,格體,833,"優穩四皓官
清崇三品列
伊予再塵忝
内愧非才哲
俸錢七八萬
給受無虛月
分命在東司
又不勞朝謁
既資閑養疾
亦賴慵藏拙
賓友得從容
琴觴恣怡悦
乘籃城外去
繫馬花前歇
六遊金谷春
五看龍門雪
吾若默無語
安知吾快活
吾欲更盡言
復恐人豪奪
應爲時所笑
占惜分司闕
但問適意無
豈論官冷熱",0.70849609375,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
2113,代鶴,格體,833,"我本海上鶴
偶逢江南客
感君一顧恩
同來洛陽陌
洛陽寡族類
皎皎唯兩翼
貌是天與高
色非日浴白
主人誠可戀
其奈軒庭窄
飲啄雜雞羣
年深損標格
故鄉渺何處
雲水重重隔
誰念深籠中
七換摩天翮",0.70849609375,二十九,鶴,《相鶴經》,鶴，陽鳥也，而游於陰。因金氣依火精，以自養，金數九，火數七。年八變，百六十年大變，百六十年變止，千六百年形定體絜。故曰聲聞天故頂赤，食於水故喙長，輕於前故後指短，棲於陸故足高而尾雕，翔於雲故尾豐而肉踈，大候以味故脩，頸以納新故生壽，天不可量所以體無青黃二色者，木土之氣內養故不表於外。是以行必依洲嶼，止不集林木，蓋羽族之崇，長仙人麒麟也。,False,0,False,0
0379,琴,閑適,824,"置琴曲机上
慵坐但含情
何煩故揮弄
風絃自有聲",0.7080078125,十八,琴,但識琴中趣，何勞絃上聲？,陶潛不解琴，畜素琴一張，絃徽不具。曰云云。,False,0,False,0
0438,照鏡,感傷,,"皎皎青銅鏡
斑斑白絲鬢
豈復更藏年
實年君不信",0.7080078125,四,鏡,青銅鏡,蕭方等《三十國春秋》曰：「慕容垂攻鄴，符丕遣其從第，就請救，乃遺謝玄青銅鏡，黃金婉轉，繩等為信。,False,0,False,0
2739,池鶴八絶句鳶贈鶴,律詩,,"君誇名鶴我名鳶
君叫聞天我唳天
更有與君相似處
飢來一種啄腥羶",0.70654296875,二十九,鶴,《相鶴經》,鶴，陽鳥也，而游於陰。因金氣依火精，以自養，金數九，火數七。年八變，百六十年大變，百六十年變止，千六百年形定體絜。故曰聲聞天故頂赤，食於水故喙長，輕於前故後指短，棲於陸故足高而尾雕，翔於雲故尾豐而肉踈，大候以味故脩，頸以納新故生壽，天不可量所以體無青黃二色者，木土之氣內養故不表於外。是以行必依洲嶼，止不集林木，蓋羽族之崇，長仙人麒麟也。,False,0,False,0
2089,府酒五絶辨味,律詩,,"甘露太甜非正味
醴泉雖潔不芳馨
杯中此物何人别
柔旨之中有典刑",0.7060546875,五,造酒,若作酒醴,《爾雅》：麴孽,False,0,False,0
2370,詔授同州刺史病不赴任因詠所懷,律詩,835,"同州慵不去
此意復誰知
誠愛俸錢厚
其如身力衰
可憐病判案
何似醉吟詩
勞逸懸相遠
行藏決不疑
徒煩人勸諫
只合自尋思
白髮來無限
青山去有期
野心唯怕鬧
家口莫愁飢
賣却新昌宅
聊充送老資",0.705078125,十二,威名,王尊,為安定太守告屬縣令長丞奉法守職甚勞苦太守以今日至府願諸君勉正身以率下無以身試法勑掾功曺不中用者輒自避退無妨賢路孔子七日誅少正邜今一月矣五官掾張輔貪汚一郡錢盡入輔家収送獄數日輔死盡得狡猾威震郡中,False,0,False,0
2736,池鶴八絶句鶴答雞,律詩,,"爾爭伉儷泥中鬭
吾整羽儀松上棲
不可遣他天下眼
却輕野鶴重家雞",0.705078125,二十九,鶴,《相鶴經》,鶴，陽鳥也，而游於陰。因金氣依火精，以自養，金數九，火數七。年八變，百六十年大變，百六十年變止，千六百年形定體絜。故曰聲聞天故頂赤，食於水故喙長，輕於前故後指短，棲於陸故足高而尾雕，翔於雲故尾豐而肉踈，大候以味故脩，頸以納新故生壽，天不可量所以體無青黃二色者，木土之氣內養故不表於外。是以行必依洲嶼，止不集林木，蓋羽族之崇，長仙人麒麟也。,False,0,False,0
