granularity,unit_id,编号,题目,作年,similarity,部类,文本
line,16720,1181,昭德王皇后挽歌詞,787,0.770996,蠶桑,蠶休昔採桑
line,13341,0801,王昭君二首其一,788,0.740723,勤,愁苦辛勤顦顇盡
line,12387,0669,病中作,789,0.729004,老,此身豈堪老
line,8700,0427,遊襄陽懷孟浩然,794,0.750977,相思,思人至其鄉
line,8637,0423,將之饒州江浦夜泊,798,0.753418,婚姻,光陰坐遲暮
line,8642,0423,將之饒州江浦夜泊,798,0.724609,酣醉,豈堪心併憂
line,12485,0687,自河南經亂關内阻飢兄弟離散各在一處因望月有感聊書所懷寄上浮梁大兄於潛七兄烏江十五兄兼示符離及下邽弟妹,799,0.718262,遷徙,辭根散作九秋蓬
line,11985,0608,叙德書情四十韻上宣歙崔中丞,800,0.794922,母子,陰德畏人知
line,8710,0428,秋暮西歸途中書情,800,0.784180,晨夜,發在雞鳴前
line,12042,0608,叙德書情四十韻上宣歙崔中丞,800,0.782715,馬,相馬須憐瘦
line,8720,0428,秋暮西歸途中書情,800,0.781250,囊橐,歸無一囊錢
line,10934,0576,生離别,800,0.764648,梅,蘗能苦兮梅能酸
line,12028,0608,叙德書情四十韻上宣歙崔中丞,800,0.756836,賔館,飭躬趨館舍
line,12521,0694,客中守歲,800,0.755371,貧,不及在家貧
line,12043,0608,叙德書情四十韻上宣歙崔中丞,800,0.749023,鷹,呼鷹正及飢
line,11986,0608,叙德書情四十韻上宣歙崔中丞,800,0.748535,玉,白玉慚温色
line,11989,0608,叙德書情四十韻上宣歙崔中丞,800,0.740723,卜筮,言作世蓍龜
line,8751,0431,題贈定光上人,800,0.739746,道路,得徑入大道
line,8726,0429,秋懷,800,0.731934,秋,草木日夜衰
line,8694,0426,客路感秋寄明準上人,800,0.729980,釋教,不教煩惱生
line,10939,0576,生離别,800,0.729492,公主,迴看骨肉哭一聲
line,10940,0576,生離别,800,0.725586,梅,梅酸蘗苦甘如蜜
line,8749,0431,題贈定光上人,800,0.725098,僧,二十身出家
line,12039,0608,叙德書情四十韻上宣歙崔中丞,800,0.724121,老,躭書力未疲
line,11983,0608,叙德書情四十韻上宣歙崔中丞,800,0.723145,信,刑行吏不欺
line,11972,0608,叙德書情四十韻上宣歙崔中丞,800,0.720703,華山,山河地襟帶
line,12528,0695,問淮水,800,0.720703,淮,何事長淮水
line,8689,0426,客路感秋寄明準上人,800,0.719238,收穫,孰能不憯悽
line,8743,0430,贈别楊穎士盧克柔殷堯藩,800,0.719238,舟,扁舟來楚鄉
line,12497,0689,寒閨夜,800,0.719238,寢,孤眠懶未能
line,12017,0608,叙德書情四十韻上宣歙崔中丞,800,0.717773,津渡,涉海水難爲
line,11976,0608,叙德書情四十韻上宣歙崔中丞,800,0.716309,喪賢臣,股肱分外守
