unit_id,granularity,poem_id,source_poetry_id,poet_id,作者,作者规范,题目,source,line_index,line_length_guess,text,embedding_text,embedding_chars,candidate_ngram,candidate_source,row_id,best_similarity,六帖卷,六帖部类,六帖部类序号,六帖部类附名,六帖词条,六帖注文,六帖解析注文,注文類型规范,注文计算策略,line_high_count_in_poem
0,poem_from_line,5,6,1,李世民,李世民,重幸武功,Ethan-do0707/tang_poetry,6,5,垂衣天下治,垂衣天下治,5,衣天下,leishu_3gram,8611,0.629384,六,祖孫,二十九,,下治,《禮》：上治祖禰，尊尊也。下治子孫，親親也。,《禮》：上治祖禰，尊尊也。下治子孫，親親也。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
1,poem_from_line,9,10,1,李世民,李世民,入潼关,Ethan-do0707/tang_poetry,12,5,别有真人气,别有真人气,5,有真人,leishu_3gram,7649,0.624415,六,同姓㛰,四,,有別,男女有别,男女有别,补足下文,headword_note_combined,0
2,poem_from_line,25,26,1,李世民,李世民,度秋,Ethan-do0707/tang_poetry,3,5,洞庭波渐起,洞庭波渐起,5,洞庭波,leishu_3gram,3110,0.678284,二,湖,四十五,,始波,洞庭始波，木葉微脫。《文選》云。,洞庭始波，木葉微脫。《文選》云。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
3,poem_from_line,40,41,1,李世民,李世民,采芙蓉,Ethan-do0707/tang_poetry,1,5,携手上雕航,携手上雕航,5,携手上,leishu_3gram,2975,0.493298,二,河,四十,,葦航,誰謂河廣，一葦航之。,誰謂河廣，一葦航之。,出处原文；解释文意,weighted_channels,0
4,poem_from_line,87,88,1,李世民,李世民,句,Ethan-do0707/tang_poetry,5,5,闻弦心已惊,闻弦心已惊,5,弦心已,leishu_3gram,33203,0.610961,二十九,烏,十三,,太宗烏詩,近日毛雖煖，聞弦心已驚。,近日毛雖煖，聞弦心已驚。,补足下文,headword_note_combined,0
5,poem_from_line,101,102,3,李显,李显,景龙四年正月五日移仗蓬莱宫御大明殿会吐…柏梁体联句,Ethan-do0707/tang_poetry,10,5,__武平一著作不休出中肠,__武平一著作不休出中肠,12,著作不,leishu_3gram,26551,0.556388,二十一,校書,三十七,,著中經,《晉書》：左思欲賦三都，訪岷邛之事，自以所見不博，求為祕書郎，作《中經》。事見上注。,《晉書》：左思欲賦三都，訪岷邛之事，自以所見不博，求為祕書郎，作《中經》。事見上注。,出处典籍；出处原文；互见,weighted_channels_with_book_title_stats,0
6,poem_from_line,106,107,5,李隆基,李隆基,校猎义成喜逢大雪率题九韵以示群官,Ethan-do0707/tang_poetry,0,5,弧矢威天下,弧矢威天下,5,威天下,leishu_3gram,29942,0.767554,二十五,射,五,,以威天下,聖人弦木為弧，剡木為矢。弧矢之利，以威天下，蓋取諸睽。,聖人弦木為弧，剡木為矢。弧矢之利，以威天下，蓋取諸睽。,出处原文,weighted_channels,1
7,poem_from_line,107,108,5,李隆基,李隆基,赐诸州刺史以题座右,Ethan-do0707/tang_poetry,14,5,讼狱必以情,讼狱必以情,5,必以情,leishu_3gram,17673,0.812973,十三,推斷獄,四,,察必以情。,小大之獄，雖不能察必以情。,小大之獄，雖不能察必以情。,出处原文,weighted_channels,1
8,poem_from_line,110,111,5,李隆基,李隆基,端午三殿宴群臣探得神字,Ethan-do0707/tang_poetry,12,5,股肱良足咏,股肱良足咏,5,股肱良,leishu_3gram,24065,0.702024,十九,喪賢臣,十五,,股肱,《傳》曰：君之卿佐是為股肱，股肱或虧何疾，如之疾痛也。,《傳》曰：君之卿佐是為股肱，股肱或虧何疾，如之疾痛也。,出处典籍；出处原文；解释文意,weighted_channels_with_book_title_stats,0
9,poem_from_line,114,115,5,李隆基,李隆基,过王濬墓,Ethan-do0707/tang_poetry,6,5,长戟今何在,长戟今何在,5,今何在,leishu_3gram,21831,0.560605,十六,戈殳矛戟,二十五,,殳長尋有四尺,,,,weighted_channels_untyped_fallback,0
10,poem_from_line,115,116,5,李隆基,李隆基,初入秦川路逢寒食,Ethan-do0707/tang_poetry,9,5,争道何人不戏鞭,争道何人不戏鞭,7,何人不,leishu_3gram,13689,0.617046,九,博棊,三十六,,争道,王導與其子悅弈棊争道，導笑曰：「相與有瓜葛那得為爾。」,王導與其子悅弈棊争道，導笑曰：「相與有瓜葛那得為爾。」,出处原文,weighted_channels,0
11,poem_from_line,116,117,5,李隆基,李隆基,春台望,Ethan-do0707/tang_poetry,12,5,太液池中下黄鹤,太液池中下黄鹤,7,太液池,leishu_3gram,33296,0.739642,二十九,鵠,十九,,下太液池,《漢》：昭帝太始元年，黃鵠下建章官太液池中，公卿上壽。賜侯王宗，室金錢有差。,《漢》：昭帝太始元年，黃鵠下建章官太液池中，公卿上壽。賜侯王宗，室金錢有差。,出处典籍；出处原文,weighted_channels_with_book_title_stats,0
