作者规范,作者,total_poem_count,total_line_count,matched_poem_count,candidate_line_count,candidate_line_rate,line_high_poem_count,line_high_poem_rate,poem_high_count,poem_high_rate,line_high_count,line_high_rate,line_high_within_candidate_rate,poem_best_mean,poem_best_median,poem_best_max,line_best_mean,line_best_median,line_best_max,poet_id_count,poem_high_within_matched_rate
白居易,白居易,2643,33303,785,1369,0.04110740774104435,132,0.049943246311010214,107,0.040484298146046156,161,0.004834399303366063,0.11760409057706354,0.678262,0.676668,0.925862,0.6672861,0.665314,0.925862,1.0,0.13630573248407643
李白,李白,896,15477,340,602,0.03889642695612845,59,0.06584821428571429,53,0.05915178571428571,71,0.004587452348646379,0.11794019933554817,0.6864913,0.6821025,0.858565,0.6674915,0.6652155,0.858565,1.0,0.15588235294117647
杜甫,杜甫,1158,19576,306,464,0.023702492848385777,46,0.039723661485319514,42,0.03626943005181347,47,0.0024008990600735596,0.10129310344827586,0.6767574,0.67400646,0.886258,0.6659159,0.66221404,0.886258,1.0,0.13725490196078433
佚名,佚名,840,4653,139,166,0.035675908016333545,36,0.04285714285714286,33,0.039285714285714285,44,0.009456264775413711,0.26506024096385544,0.70434725,0.681895,0.977369,0.70298517,0.681746,0.977369,1.0,0.23741007194244604
贯休,贯休,553,7120,167,272,0.038202247191011236,29,0.05244122965641953,25,0.045207956600361664,32,0.0044943820224719105,0.11764705882352941,0.6818554,0.669026,0.888025,0.6668739,0.66251147,0.888025,1.0,0.1497005988023952
元稹,元稹,593,11812,166,325,0.027514392143582797,22,0.03709949409780776,20,0.03372681281618887,24,0.002031832035218422,0.07384615384615385,0.6699186,0.670915,0.859346,0.6550502,0.656611,0.859346,1.0,0.12048192771084337
孟郊,孟郊,402,6441,127,184,0.028566992702996428,16,0.03980099502487562,14,0.03482587064676617,18,0.0027945971122496508,0.09782608695652174,0.68059963,0.684793,0.865447,0.6708008,0.665781,0.865447,1.0,0.11023622047244094
顾况,顾况,235,2441,68,110,0.04506349856616141,13,0.05531914893617021,9,0.03829787234042553,18,0.007374027038099139,0.16363636363636364,0.6819611,0.66593,0.869718,0.66914374,0.661813,0.869718,1.0,0.1323529411764706
高適,高適,208,3550,83,127,0.03577464788732394,15,0.07211538461538461,13,0.0625,17,0.004788732394366197,0.13385826771653545,0.68531305,0.676804,0.893403,0.67159855,0.66865,0.893403,1.0,0.1566265060240964
陆龟蒙,陆龟蒙,502,6183,89,128,0.020701924632055637,14,0.027888446215139442,12,0.02390438247011952,17,0.002749474365194889,0.1328125,0.6719842,0.661103,0.851597,0.6638175,0.651037,0.851597,1.0,0.1348314606741573
王维,王维,328,3604,92,120,0.033296337402885685,16,0.04878048780487805,10,0.03048780487804878,16,0.004439511653718091,0.13333333333333333,0.68674356,0.6828785,0.821402,0.67333585,0.66769254,0.821402,1.0,0.10869565217391304
张九龄,张九龄,193,2828,49,66,0.02333804809052334,15,0.07772020725388601,14,0.07253886010362694,15,0.005304101838755304,0.22727272727272727,0.7145508,0.687619,0.972149,0.70261514,0.685743,0.972149,1.0,0.2857142857142857
李瀚,李瀚2,2,600,1,25,0.041666666666666664,1,0.5,1,0.5,15,0.025,0.6,0.921941,0.921941,0.921941,0.75614387,0.772671,0.921941,1.0,1.0
皮日休,皮日休,353,5032,66,110,0.021860095389507155,12,0.0339943342776204,9,0.025495750708215296,14,0.0027821939586645467,0.12727272727272726,0.6684229,0.659325,0.809025,0.6623258,0.65434396,0.809025,1.0,0.13636363636363635
皎然,皎然,506,5651,110,154,0.027251813838258716,11,0.021739130434782608,8,0.015810276679841896,14,0.002477437621659883,0.09090909090909091,0.66581357,0.6646615,0.96043,0.65913147,0.65152,0.96043,1.0,0.07272727272727272
权德舆,权德舆,283,3457,57,70,0.0202487706103558,13,0.045936395759717315,8,0.028268551236749116,13,0.0037604859704946487,0.18571428571428572,0.6789506,0.669422,0.835503,0.6700648,0.66584146,0.835503,1.0,0.14035087719298245
卢仝,卢仝,92,1740,44,113,0.06494252873563218,12,0.13043478260869565,11,0.11956521739130435,13,0.007471264367816092,0.11504424778761062,0.704577,0.6914185,0.876619,0.666754,0.657933,0.876619,1.0,0.25
