作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度
上官仪,馬,1,0.798693,0.798693,从驾闾山咏马,徒嗟塞上翁,塞上翁,失馬人弔曰：「未必不為福。俄爾馬引塞外馬歸。,0.798693
上官昭容,隠逸,1,0.761181,0.761181,游长宁公主流杯池二十五首,山中有逸人,逸人,,0.761181
不详,死,1,0.788483,0.788483,佚句,知其不寿,知命之不長,《傳》。,0.788483
不详,寒,1,0.785044,0.785044,佚句,（《苦寒》见《事文类聚》）,苦寒行,魏武《苦寒行》曰：「人馬同時飢，擔囊行取薪，斧冰持作糜。」糜，粥也。,0.785044
不详,雲,1,0.781267,0.781267,佚句,闲云生不雨,密雲不雨,,0.781267
不详,僧,1,0.76642,0.76642,佚句,见《高僧传》）,長老,高僧。,0.76642
不详,鬼神,1,0.757444,0.757444,佚句,应有鬼神看,幽則有鬼神,言可以助天地成化。,0.757444
不详,車,1,0.744394,0.744394,佚句,兄弟也沾陪,兄弟也,張骼謂宛射犬曰：「公孫乘兄弟也。」注云：同乘之恩，若兄弟也。,0.744394
不详,隠逸,1,0.742595,0.742595,佚句,远方之人,方外之人,,0.742595
临淄县主,死,1,0.917582,0.917582,与独孤穆冥会诗,死生契阔,死生契闊,,0.917582
临淄县主,玉,1,0.78766,0.78766,与独孤穆冥会诗,玉笄不可求,玉玦,魏鍾繇元常有玉玦，太子欲得之而難，公密使臨菑侯，因人說之，繇送太子，報繇書云云。,0.78766
乔知之,扇,1,0.825738,0.825738,长信宫中树,香摇五明扇,五明扇,崔豹《古今注》曰：「舜廣視聽求賢人，以自輔作五明扇。,0.825738
于尹躬,祥瑞,1,0.747539,0.747539,南至日太史登台书云物,长当有嘉瑞,嘉瑞。,,0.747539
于濆,衣服,1,0.85755,0.85755,野蚕,化为寒者衣,寒者衣之,,0.85755
于邵,鬼神,1,0.9508,0.9508,释奠武成王乐章。迎神,感而遂通,感而遂通,,0.9508
于邺,奉使,1,0.787376,0.787376,书情,已过千里程,千里程,《漢舊》：儀奉璽書，使者乗馳傳，日夜千里為程也。,0.787376
任华,直,1,0.760956,0.760956,寄杜拾遗,只缘汲黯好直言,汲黯正直,黯，字長孺。,0.760956
佚名,德,6,0.96043,0.86687,郊庙歌辞。释奠文宣王乐章。雍和,明德惟馨,明德惟馨,,0.96043
佚名,祭祀,3,0.972149,0.878938,明皇祀圜丘乐章。舒和,祀事孔明,祀事孔明,,0.972149
佚名,祝史,2,0.962769,0.962769,郊庙歌辞。昭德皇后庙乐章。寿和,工祝致告,工祝致告,,0.962769
佚名,郊天,2,0.867681,0.8288555,郊庙歌辞。享太庙乐章。文舞,克配彼天,思文后稷,克配彼天。,0.867681
佚名,天子孝,2,0.83514,0.79182446,封泰山乐章。寿和,孝天下臣,孝理天下,先王之以孝治天下也。故得萬國之歡心，是以天下和平，災害不生。,0.83514
佚名,蒸嘗,2,0.782102,0.78085,郊庙歌辞。享太庙乐章。永和,是用孝享,吉蠲為饎，是用孝享,,0.782102
佚名,日,2,0.779794,0.7737535,郊庙歌辞。享太庙乐章。长发舞,就日重光,重光,崔豹《古今注》曰：「漢明帝作太子樂，八歌四章，以贊太子，一曰日重光。」,0.779794
佚名,黍稷,1,0.977369,0.977369,郊庙歌辞。梁太庙乐舞辞。送神,黍稷非馨,黍稷非馨,,0.977369
佚名,禍福,1,0.97074,0.97074,郊庙歌辞。太清宫乐章。登歌,降福穰穰,降福穰穰,,0.97074
佚名,鬼神,1,0.9508,0.9508,郊庙歌辞。释奠武成王乐章。迎神,感而遂通,感而遂通,,0.9508
佚名,慎,1,0.945914,0.945914,郊庙歌辞。享太庙乐章。升和,夕惕若厉,夕惕若厲,,0.945914
佚名,侑,1,0.907102,0.907102,郊庙歌辞。周宗庙乐舞辞。肃雍舞,以妥以侑,以妥以侑,《詩》。,0.907102
佚名,舞,1,0.879055,0.879055,郊庙歌辞。周宗庙乐舞辞。肃雍舞,进旅退旅,進旅退旅,言進退齊一也。《禮》。,0.879055
佚名,材木,1,0.876387,0.876387,沈亚之,伐木丁丁,伐木丁丁,聲也。,0.876387
佚名,豬,1,0.870291,0.870291,郊庙歌辞。后唐宗庙乐舞辞。文明舞,信及豚鱼,信及豚魚,《易．中孚》卦。妖《傳》：齊侯田于貝丘，見大豕，人立。從者曰：「彭生也。公怒射之，豕人立而啼。公乃懼之。,0.870291
佚名,恭敬,1,0.838006,0.838006,郊庙歌辞。享太庙乐章。太和,在貌思恭,事思敬,貌思恭。,0.838006
佚名,帝德,1,0.825569,0.825569,郊庙歌辞。后唐宗庙乐舞辞。雍熙舞,百度惟贞,百度惟貞。,,0.825569
佚名,玉,1,0.824575,0.824575,沈亚之,如琢如磨,琢,如琢如磨，玉不琢，不成器。,0.824575
佚名,言語,1,0.822856,0.822856,郊庙歌辞。祀九宫贵神乐章。肃和,穆穆皇皇,穆穆皇皇,言語之美。,0.822856
佚名,御宴,1,0.81821,0.81821,郊庙歌辞。周宗庙乐舞辞。禋顺,旨酒既献,我肴,旨酒,0.81821
佚名,射,1,0.805092,0.805092,郊庙歌辞。晋昭德成功舞歌。武功舞歌二首,既已櫜弓矢,弓矢既調,,0.805092
佚名,海,1,0.780274,0.780274,郊庙歌辞。梁太庙乐舞辞。昭德舞,奄有四海,四海,七戎六蠻，九夷八狄。形類不同。摠而言，謂之四海，言皆近於海。,0.780274
佚名,禮,1,0.774365,0.774365,郊庙歌辞。享太庙乐章。雍和,礼以昭事,禮以防人,,0.774365
佚名,智謀,1,0.771,0.771,郊庙歌辞。周宗庙乐舞辞。明德舞,知微知彰,知微知章。,,0.771
佚名,妖訛,1,0.76364,0.76364,又歌,惑人人不知,熒惑於人,言經營惑亂也。,0.76364
佚名,車,1,0.760259,0.760259,李勣引谚别张文瓘,千里相送,致千里,《莊子》曰：「軸不運而致千里。」,0.760259
佚名,水,1,0.754492,0.754492,郊庙歌辞。汉宗庙乐舞辞。积善舞,滔滔不竭,浩浩滔天,言漫天也。,0.754492
佚名,勤勞,1,0.753801,0.753801,巴州薛刺史歌,日出而耕,暴背而耕,,0.753801
佚名,戈殳矛戟,1,0.753152,0.753152,武后明堂乐章。皇帝行,永戢干戈,載戢干戈,,0.753152
佚名,節度使,1,0.747848,0.747848,劝进疏引谶,中央有天子,摠元帥之任,殿天子之邦。,0.747848
佚名,文武相須,1,0.747472,0.747472,郊庙歌辞。梁太庙乐舞辞。登歌,动以武功,文德,武功。,0.747472
佚名,禱祀,1,0.741768,0.741768,郊庙歌辞。梁郊祀乐章。庆平,享祀不忒,神不享矣,,0.741768
修雅,賢婦,1,0.758138,0.758138,闻诵《法华经》歌,知是古之人,知人,晉王渾妻鍾氏，名琰。有文才淑求賢，夫有兵家子甚俊，欲妻之。令與羣小吏雜處，琰自帷中察之曰：此人才足㧞萃，然地寒夀促不足展其器，遂止其人。數年卒。,0.758138
修雅,拜揖,1,0.743938,0.743938,闻诵《法华经》歌,不稽首而归命,大夫之臣不稽首,以避君也。,0.743938
储光羲,崑崙山,1,0.869222,0.869222,述华清宫五首,五城十二楼,五城十二樓,又曰：「崑崙之墟，五城十二樓，河水出，四維魚龍。」,0.869222
储光羲,言語,1,0.843849,0.843849,同王十三维偶然作十首,虽若不能言,似不能言,,0.843849
储光羲,雷,1,0.824909,0.824909,过新丰道中,雷雨杳冥冥,雷雨晦冥,《漢書》：劉媼息大澤中，夢與神遇，是時，雷雨晦冥。太公往視之，則見蛟龍在上。已而，有娠，而產高祖。,0.824909
储光羲,菊,1,0.805378,0.805378,田家杂兴八首,秋至菊花酒,菊花酒,費長房謂桓景：「九月九日可登高，飲菊花酒以消災。,0.805378
储光羲,夢,1,0.779092,0.779092,咏山泉（一作题山中流泉）,山中有流水,山上有水,魏鄧艾伐蜀夢坐山上有水流問袁卲卲曰山上有水蹇蹇利西南往有功也不利東圵其道窮也往必克蜀其不還者乎,0.779092
储光羲,七月七日,1,0.765657,0.765657,田家杂兴八首,君看西王母,西王母,漢武故事，七月七日，上於承華殿，齋正中有一青鳥從西方來，集殿前，上問東方朔，朔曰：「西王母欲來。」有頃，王母至，有二青鳥侍王母傍。,0.765657
储光羲,淫亂,1,0.758218,0.758218,同王十三维偶然作十首,使我不能还,不能自還,原涉曰：「寡婦欲慕宋伯姬，不幸一為盜賊所汙，遂為淫泆，知非禮然不能自還。,0.758218
储光羲,美田,1,0.758146,0.758146,同王十三维哭殷遥,膏腴不可求,膏腴,,0.758146
储光羲,和戎,1,0.755101,0.755101,同诸公秋日游昆明池思古,征彼西南夷,漢通西南夷,《史》：唐蒙已略夜郎，因發巴蜀。廣漢卒，通南夷道。時筇笮之君聞南夷與漢通，得賞多，願內屬，請吏為臣妾。上使司馬相如持節，以幣賂西南夷，便略定西夷、筇笮，除邊關，通筇笮都還。天子大悅之。,0.755101
储光羲,巡狩,1,0.752865,0.752865,望幸亭,五年一巡狩,王有巡狩，,省四方也。《傳》。,0.752865
储光羲,珠,1,0.747578,0.747578,贻王侍御出台掾丹阳,照车十二乘,照乘,魏王曰：「寡人有徑寸珠，照車前，後十二乘者十枚。」,0.747578
储光羲,衡山,1,0.747026,0.747026,敬酬陈掾亲家翁秋夜有赠,梧桐生朝阳,梧桐生,馬融《琴賦》曰：「惟梧桐之所生，在衡山之峻陂。,0.747026
储光羲,君臣,1,0.746996,0.746996,同诸公秋霁曲江俯见南山,大君及群臣,近臣,漢嚴助為太中大夫後得朱買臣吾邱壽王主父偃徐樂嚴安枚臯從車並在左右助等與大臣辨論中外相應以義理之文大臣數詘司馬相如數稱疾避事枚臯東方朔不根持論上頗俳優畜之唯助與壽王見任而助最先進,0.746996
僧鸾,華山,1,0.751525,0.751525,赠李粲秀才（字辉用）,回首瞥见五千仞,削成五千仞,《山海經》：「華山削成而四方，高五千仞，其廣千里。」,0.751525
元希声,道教,1,0.961085,0.961085,赠皇甫侍御赴都八首,道心惟微,道心惟微,,0.961085
元希声,竹,1,0.880018,0.880018,赠皇甫侍御赴都八首,东南之美,東南之美,《爾雅》曰：東南之美者，有會稽之竹箭焉。,0.880018
元希声,明天文,1,0.778534,0.778534,赠皇甫侍御赴都八首,牛斗之气,氣衝斗牛,《晉書》：吳之未滅，牛斗之閒，常有紫氣。術者皆云：吳可圖，張華獨以不然，及吳平後，紫氣逾明。華聞雷煥妙達緯象，乃邀煥宿，共尋天文，知將來吉凶。登樓仰觀煥曰：「唯斗牛之閒，有異氣耳。寶劍之精，上徹於天，在酆城獄屋下。,0.778534
元稹,相思,3,0.771964,0.7665553,酬乐天赴江州路上见寄三首,一日不得见,一日不見。,如三月兮，如三秋兮。,0.771964
元稹,言語,2,0.785553,0.784397,感梦（梦故兵部裴尚书相公）,我亦不能语,似不能言,,0.785553
元稹,致仕,1,0.859346,0.859346,望云骓马歌,功成事遂身退天之道,功成名遂身退，天之道,,0.859346
元稹,劍,1,0.815678,0.815678,说剑,剑可剸犀兕,剸犀,,0.815678
元稹,拜揖,1,0.813781,0.813781,庙之神,复再拜而再祝,再拜,,0.813781
元稹,土功,1,0.81274,0.81274,赛神,主人不堪命,人不堪命,,0.81274
元稹,養生,1,0.798938,0.798938,有鸟二十章（庚寅）,啄腐吞腥笑雕鹗,啄腐吞腥,,0.798938
元稹,羊,1,0.795999,0.795999,江边四十韵（此后并江陵时作）,豺狼逐野麃,豺狼逐,《漢書》：譬如使豺狼逐群羊，無畏驅羊攻虎。,0.795999
元稹,仙,1,0.795482,0.795482,江陵三梦,纵我生羽翼,生羽翼,,0.795482
