作者规范,题目,text,best_similarity,六帖卷,六帖部类,六帖词条,六帖解析注文,注文计算策略
佚名,郊庙歌辞。梁太庙乐舞辞。送神,黍稷非馨,0.977369,二十,黍稷,黍稷非馨,,weighted_channels_untyped_fallback
张衮,梁郊祀乐章。庆肃,黍稷非馨,0.977369,二十,黍稷,黍稷非馨,,weighted_channels_untyped_fallback
张衮,郊庙歌辞。梁郊祀乐章。庆肃,黍稷非馨,0.977369,二十,黍稷,黍稷非馨,,weighted_channels_untyped_fallback
裴潾,前相国赞皇公早葺平泉山居暂还憩…十四首奉寄,泣涕如雨,0.975002,十九,哭,泣涕如雨,,weighted_channels_untyped_fallback
佚名,明皇祀圜丘乐章。舒和,祀事孔明,0.972149,二十,祭祀,祀事孔明,,weighted_channels_untyped_fallback
归登,郊庙歌辞。享惠昭太子庙乐章。请神,祀事孔明,0.972149,二十,祭祀,祀事孔明,,weighted_channels_untyped_fallback
归登,享惠昭太子庙乐章（请神）,祀事孔明,0.972149,二十,祭祀,祀事孔明,,weighted_channels_untyped_fallback
张九龄,南郊文武出入舒和之乐,祀事孔明,0.972149,二十,祭祀,祀事孔明,,weighted_channels_untyped_fallback
王晙,祭汾阴乐章。太和,降福穰穰,0.97074,二十七,禍福,降福穰穰,,weighted_channels_untyped_fallback
王晙,郊庙歌辞。祭汾阴乐章。太和,降福穰穰,0.97074,二十七,禍福,降福穰穰,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。太清宫乐章。登歌,降福穰穰,0.97074,二十七,禍福,降福穰穰,,weighted_channels_untyped_fallback
陈叔达,太庙祼地歌辞,降福穰穰,0.97074,二十七,禍福,降福穰穰,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。周宗庙乐舞辞。明德舞,工祝致告,0.962769,二十,祝史,工祝致告,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。昭德皇后庙乐章。寿和,工祝致告,0.962769,二十,祝史,工祝致告,,weighted_channels_untyped_fallback
元希声,赠皇甫侍御赴都八首,道心惟微,0.961085,二十六,道教,道心惟微,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。释奠文宣王乐章。雍和,明德惟馨,0.96043,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
皎然,讲德联句,明德惟馨,0.96043,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
于邵,释奠武成王乐章。迎神,感而遂通,0.9508,二十七,鬼神,感而遂通,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。释奠武成王乐章。迎神,感而遂通,0.9508,二十七,鬼神,感而遂通,,weighted_channels_untyped_fallback
卢肇,汉堤诗,不日不月,0.950043,十,行旅,不日不月,,weighted_channels_untyped_fallback
张九龄,奉和圣制烛龙斋祭,六月徂暑,0.947344,一,夏,徂暑,六月徂暑。,weighted_channels
佚名,郊庙歌辞。享太庙乐章。升和,夕惕若厉,0.945914,八 （凡七十九門 內二十六門附）,慎,夕惕若厲,,weighted_channels_untyped_fallback
白居易,三谣。朱藤谣,直如朱绳,0.925862,八 （凡七十九門 內二十六門附）,直,直如朱絲繩,,weighted_channels_untyped_fallback
李瀚,蒙求,耿恭拜井,0.921941,八 （凡七十九門 內二十六門附）,信,耿恭拜井,《後漢》：耿恭，字伯宗。守疎勒城，城中無水，穿井十丈，無水，恭整衣冠，拜井，泉涌出。,weighted_channels_with_book_title_stats
临淄县主,与独孤穆冥会诗,死生契阔,0.917582,十九,死,死生契闊,,weighted_channels_untyped_fallback
吴筠,览古十四首,知进不知退,0.915111,七,貴,知進而不知退,,weighted_channels_untyped_fallback
鲍溶,夏日华山别韩博士愈,夏日可畏时,0.915054,一,夏,夏日可畏,,weighted_channels_untyped_fallback
吴融,李周弹筝歌（淮南韦太尉席上赠）,竹不如肉,0.91502,十八,女樂,竹不如肉,桓溫問孟嘉曰：「聽妓，絲不如竹，竹不如肉，何也？」嘉曰：「漸近自然。,weighted_channels
张九龄,和裴侍中承恩拜扫旋辔途中有怀…官僚乡国亲故（后缺）,移孝入为忠,0.913893,八 （凡七十九門 內二十六門附）,忠孝,移孝為忠,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。禅社首乐章。雍和,惟德惟馨,0.91163,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
贺知章,唐禅社首乐章。雍和,惟德惟馨,0.91163,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
曹邺,赵城怀古,一笑千万金,0.910702,七,笑,一笑千金,,weighted_channels_untyped_fallback
吴筠,建业怀古,在德不在险,0.910235,十六,險固,在德不在險,《史記》魏武侯曰：「美哉山河之固，此乃魏之寶也。」吳起曰：「在德不在險，昔三苗左洞庭，右彭𧋠，德義不修而禹滅之；夏桀之居，左濟河，右太菙，侯闕在其南，羊腸在其北，脩政不仁，而湯放之；殷紂之國，左孟門，右太行，常山在其北，太行經其南，不修德政，武王殺之。由此言之，在德不在險。」武侯曰：「善哉。」,weighted_channels_with_book_title_stats
张九龄,奉和圣制度潼关口号,在德不在险,0.910235,十六,險固,在德不在險,《史記》魏武侯曰：「美哉山河之固，此乃魏之寶也。」吳起曰：「在德不在險，昔三苗左洞庭，右彭𧋠，德義不修而禹滅之；夏桀之居，左濟河，右太菙，侯闕在其南，羊腸在其北，脩政不仁，而湯放之；殷紂之國，左孟門，右太行，常山在其北，太行經其南，不修德政，武王殺之。由此言之，在德不在險。」武侯曰：「善哉。」,weighted_channels_with_book_title_stats
孙思邈,四言诗,宛其死矣,0.909358,十九,死,宛其死矣,《詩》。,weighted_channels_with_book_title_stats
佚名,郊庙歌辞。周宗庙乐舞辞。肃雍舞,以妥以侑,0.907102,二十,侑,以妥以侑,《詩》。,weighted_channels_with_book_title_stats
王绩,薛记室收过庄见寻率题古意以赠,朽木不可雕,0.904409,二十四,材木,朽木不可彫,,weighted_channels_untyped_fallback
韦表微,池州夫子庙麟台,吁嗟麟兮,0.901622,二十九,麟,于嗟麟兮,,weighted_channels_untyped_fallback
杜荀鹤,将归山逢友人,儒为君子儒,0.900229,二十六,儒教,君子之儒,子謂子夏，曰：「汝為君子儒，無為小人儒。,weighted_channels
白居易,秦中吟十首。不致仕（一作合致仕）,七十而致仕,0.89608,十七,致仕,七十致仕,還君事也。,weighted_channels
白居易,洛中偶作（自此后在东都作）,不知老将至,0.89456,十七,老,不知老之將至,,weighted_channels_untyped_fallback
高適,奉酬睢阳李太守,衣赠黑貂裘,0.893403,四,衣服,黑貂裘,《史記》：蘇秦說趙相李兌，兌送以黑貂之裘。,weighted_channels_with_book_title_stats
杜光庭,纪道德,百姓日用而不知,0.891481,十二,國政,百姓日用而不知。,,weighted_channels_untyped_fallback
贯休,村行遇猎,我闻天地之大德曰生,0.888025,二十七,造化,天地之大德曰生,,weighted_channels_untyped_fallback
杜甫,送高三十五书记,人实不易知,0.886258,十二,知人,人不易知，,,weighted_channels_untyped_fallback
杜甫,病橘,虽多亦奚为,0.882687,十七,過禮,雖多奚以為,,weighted_channels_untyped_fallback
佚名,郊庙歌辞。后唐宗庙乐舞辞。应天舞,惟德是辅,0.881961,八 （凡七十九門 內二十六門附）,德,皇天無親，,惟德是輔。,parallel_note_focused
张九龄,奉和圣制喜雨,惟德之馨,0.877932,八 （凡七十九門 內二十六門附）,德,明德惟馨,,weighted_channels_untyped_fallback
卢仝,月蚀诗,五色令人目盲,0.876619,九,視,五色令人目盲。,,weighted_channels_untyped_fallback
卢仝,有所思,美人兮美人,0.876528,七,美婦人,彼美人兮,,weighted_channels_untyped_fallback
卢仝,乐府杂曲。鼓吹曲辞。有所思,美人兮美人,0.876528,七,美婦人,彼美人兮,,weighted_channels_untyped_fallback
佚名,沈亚之,伐木丁丁,0.876387,二十四,材木,伐木丁丁,聲也。,weighted_channels
白居易,狂歌词,五十已后衰,0.875658,十七,老,五十始衰,,weighted_channels_untyped_fallback
贯休,大蜀皇帝寿春节进尧铭舜颂二首。舜颂,五典克从,0.871803,二十一,宰相,百揆時序,五典克從。,parallel_note_focused
