作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
裴交泰,裴交泰,小样本,2,8,False,False,2,250.0,2,100.0,2,250.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.755936,0.755936,0.755936,0.755936,0.755936,0.755936,1.0,,,
武昌妓,武昌妓,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,1,250.0,1,250.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.840199,0.840199,0.840199,0.840199,0.840199,0.840199,1.0,,,
成真人,成真人,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,1,250.0,1,250.0,1,100.0,1,100.0,1,100.0,1.0,1.0,1.0,1.0,0.829405,0.829405,0.829405,0.829405,0.829405,0.829405,1.0,,,
长须国驸马,长须国驸马,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,1,250.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.7814,0.7814,0.7814,0.7814,0.7814,0.7814,1.0,,,
天峤游人,天峤游人,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.763839,0.763839,0.763839,0.763839,0.763839,0.763839,1.0,,,
河中鬼,河中鬼,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.757581,0.757581,0.757581,0.757581,0.757581,0.757581,1.0,,,
李昪,李昪,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.753902,0.753902,0.753902,0.753902,0.753902,0.753902,1.0,,,
李遐周,李遐周,小样本,1,4,False,False,1,250.0,1,100.0,1,250.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.749826,0.749826,0.749826,0.749826,0.749826,0.749826,1.0,,,
韦表微,韦表微,小样本,1,40,False,False,8,200.0,1,100.0,6,150.0,6,150.0,6,150.0,1,100.0,1,100.0,1,100.0,0.75,0.75,1.0,1.0,0.837783,0.901622,0.901622,0.901622,0.901622,0.901622,9.0,,,
归登,归登,小样本,2,16,False,False,2,125.0,2,100.0,2,125.0,2,125.0,2,125.0,2,100.0,2,100.0,2,100.0,1.0,1.0,1.0,1.0,0.972149,0.972149,0.972149,0.972149,0.972149,0.972149,10.0,,,
王晙,王晙,小样本,2,16,False,False,2,125.0,2,100.0,2,125.0,2,125.0,2,125.0,2,100.0,2,100.0,2,100.0,1.0,1.0,1.0,1.0,0.97074,0.97074,0.97074,0.97074,0.97074,0.97074,10.0,,,
崔玄童,崔玄童,小样本,2,16,False,False,2,125.0,2,100.0,2,125.0,2,125.0,2,125.0,2,100.0,2,100.0,2,100.0,1.0,1.0,1.0,1.0,0.837281,0.837281,0.837281,0.837281,0.837281,0.837281,10.0,,,
杨敬之,杨敬之,小样本,3,16,False,False,3,187.5,2,66.66666666666666,2,125.0,0,0.0,0,0.0,1,33.33333333333333,0,0.0,0,0.0,0.6666666666666666,0.0,0.5,0.0,0.7026773333333334,0.74739,0.752792,0.680321,0.680321,0.752792,10.0,,,
李从谦,李从谦,小样本,1,8,False,False,1,125.0,1,100.0,1,125.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.771918,0.771918,0.771918,0.771918,0.771918,0.771918,10.0,,,
崔居俭,崔居俭,小样本,1,8,False,False,1,125.0,1,100.0,1,125.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.767713,0.767713,0.767713,0.767713,0.767713,0.767713,10.0,,,
卫光一,卫光一,小样本,1,8,False,False,1,125.0,1,100.0,1,125.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.748787,0.748787,0.748787,0.748787,0.748787,0.748787,10.0,,,
谢陶,谢陶,小样本,1,8,False,False,1,125.0,1,100.0,1,125.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.746245,0.746245,0.746245,0.746245,0.746245,0.746245,10.0,,,
唐怡,唐怡,小样本,2,8,False,False,2,250.0,1,50.0,1,125.0,1,125.0,0,0.0,1,50.0,1,50.0,0,0.0,0.5,0.5,1.0,1.0,0.7169425,0.7169425,0.785488,0.785488,0.785488,0.785488,10.0,,,
黄山隐,黄山隐,小样本,1,8,False,False,2,250.0,1,100.0,1,125.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0.5,0.0,1.0,0.0,0.6645825,0.6645825,0.758964,0.758964,0.758964,0.758964,10.0,,,
张衮,张衮,小样本,7,40,False,False,4,100.0,2,28.57142857142857,4,100.0,4,100.0,4,100.0,2,28.57142857142857,2,28.57142857142857,2,28.57142857142857,1.0,1.0,1.0,1.0,0.8935405000000001,0.8935405000000001,0.977369,0.977369,0.977369,0.977369,20.0,,,
