作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
佚名,佚名,大样本,840,4653,True,True,166,35.675908016333544,139,16.547619047619047,44,9.456264775413711,31,6.662368364496023,25,5.372877713303246,33,3.9285714285714284,22,2.619047619047619,21,2.5,0.26506024096385544,0.18674698795180722,0.23741007194244604,0.15827338129496402,0.7029852108433735,0.681746,0.977369,0.7043472446043165,0.681895,0.977369,99.0,18.0,13.0,46.0
元结,元结,大样本,91,1486,True,True,75,50.47106325706595,51,56.043956043956044,12,8.075370121130552,6,4.037685060565276,0,0.0,7,7.6923076923076925,5,5.4945054945054945,0,0.0,0.16,0.08,0.13725490196078433,0.09803921568627451,0.6960445866666667,0.699834,0.798462,0.7017596862745098,0.71604,0.798462,105.0,22.0,28.0,16.0
不详,不详,大样本,224,907,True,True,41,45.20396912899669,35,15.625,7,7.717750826901874,3,3.3076074972436604,0,0.0,5,2.232142857142857,2,0.8928571428571428,0,0.0,0.17073170731707318,0.07317073170731707,0.14285714285714285,0.05714285714285714,0.6748773658536585,0.665293,0.788483,0.6825011428571429,0.670586,0.788483,108.0,24.0,37.0,90.0
卢照邻,卢照邻,大样本,109,1445,True,True,61,42.21453287197232,30,27.522935779816514,11,7.612456747404845,5,3.4602076124567476,1,0.6920415224913494,5,4.587155963302752,1,0.9174311926605505,1,0.9174311926605505,0.18032786885245902,0.08196721311475409,0.16666666666666666,0.03333333333333333,0.6748624590163934,0.682027,0.84867,0.6934274666666667,0.695487,0.84867,110.0,26.0,35.0,38.0
卢仝,卢仝,大样本,92,1740,True,True,113,64.94252873563218,44,47.82608695652174,13,7.471264367816092,9,5.172413793103448,8,4.597701149425287,11,11.956521739130435,8,8.695652173913043,8,8.695652173913043,0.11504424778761062,0.07964601769911504,0.25,0.18181818181818182,0.6667539911504424,0.657933,0.876619,0.7045770681818181,0.6914184999999999,0.876619,111.0,27.0,19.0,7.0
顾况,顾况,大样本,235,2441,True,True,110,45.06349856616141,68,28.936170212765955,18,7.37402703809914,9,3.68701351904957,5,2.048340843916428,9,3.829787234042553,5,2.127659574468085,4,1.702127659574468,0.16363636363636364,0.08181818181818182,0.1323529411764706,0.07352941176470588,0.6691437363636364,0.661813,0.869718,0.6819610882352941,0.66593,0.869718,112.0,28.0,32.0,50.0
周昙,周昙,大样本,195,780,True,True,38,48.717948717948715,36,18.461538461538463,5,6.41025641025641,3,3.8461538461538463,1,1.2820512820512822,4,2.051282051282051,2,1.0256410256410255,1,0.5128205128205128,0.13157894736842105,0.07894736842105263,0.1111111111111111,0.05555555555555555,0.675601052631579,0.676674,0.815338,0.6765279166666667,0.6772655000000001,0.815338,119.0,34.0,30.0,94.0
张九龄,张九龄,大样本,193,2828,True,True,66,23.33804809052334,49,25.38860103626943,15,5.3041018387553045,12,4.243281471004243,9,3.1824611032531824,14,7.253886010362693,12,6.217616580310881,9,4.66321243523316,0.22727272727272727,0.18181818181818182,0.2857142857142857,0.24489795918367346,0.7026151818181818,0.685743,0.972149,0.7145507959183673,0.687619,0.972149,129.0,41.0,26.0,18.0
李隆基,李隆基,大样本,65,757,True,True,20,26.42007926023778,14,21.53846153846154,4,5.284015852047556,1,1.321003963011889,1,1.321003963011889,4,6.153846153846154,1,1.5384615384615385,1,1.5384615384615385,0.2,0.05,0.2857142857142857,0.07142857142857142,0.67072705,0.6685350000000001,0.812973,0.6808927142857143,0.6855005000000001,0.812973,130.0,42.0,72.0,28.0
吴筠,吴筠,大样本,77,1398,True,True,38,27.181688125894134,24,31.16883116883117,7,5.007153075822604,3,2.1459227467811157,3,2.1459227467811157,5,6.493506493506493,3,3.896103896103896,3,3.896103896103896,0.18421052631578946,0.07894736842105263,0.20833333333333334,0.125,0.699882947368421,0.6949775,0.915111,0.7113790833333334,0.6949775,0.915111,132.0,44.0,53.0,25.0
白居易,白居易,大样本,2643,33303,True,True,1369,41.10740774104435,785,29.701097237987135,161,4.834399303366062,67,2.0118307659970576,30,0.9008197459688316,107,4.048429814604615,44,1.6647748770336739,29,1.0972379871358307,0.11760409057706354,0.04894083272461651,0.13630573248407643,0.05605095541401274,0.6672860796201607,0.665314,0.925862,0.6782619694267517,0.676668,0.925862,135.0,46.0,58.0,44.0
高適,高適,大样本,208,3550,True,True,127,35.774647887323944,83,39.90384615384615,17,4.788732394366197,10,2.8169014084507045,8,2.2535211267605635,13,6.25,8,3.8461538461538463,7,3.3653846153846154,0.13385826771653545,0.07874015748031496,0.1566265060240964,0.0963855421686747,0.6715985433070866,0.66865,0.893403,0.6853130843373494,0.676804,0.893403,137.0,48.0,42.0,26.0
李白,李白,大样本,896,15477,True,True,602,38.89642695612845,340,37.94642857142857,71,4.587452348646379,37,2.3906441816889576,20,1.2922400982102475,53,5.915178571428571,29,3.2366071428571432,20,2.232142857142857,0.11794019933554817,0.061461794019933555,0.15588235294117647,0.08529411764705883,0.6674915016611296,0.6652155,0.858565,0.6864913235294118,0.6821025000000001,0.858565,142.0,53.0,47.0,29.0
