作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
张贲,张贲,稳健样本,16,96,True,False,5,52.083333333333336,4,25.0,2,20.833333333333332,1,10.416666666666666,0,0.0,2,12.5,1,6.25,0,0.0,0.4,0.2,0.5,0.25,0.7073868,0.701914,0.799777,0.71503775,0.7296065,0.799777,61.0,1.0,4.0,6.0
卢鸿一,卢鸿一,稳健样本,10,101,True,False,8,79.20792079207921,4,40.0,2,19.801980198019802,1,9.900990099009901,1,9.900990099009901,1,10.0,1,10.0,1,10.0,0.25,0.125,0.25,0.25,0.70912475,0.6750665,0.864592,0.73362975,0.7070865,0.864592,68.0,2.0,5.0,8.0
孟云卿,孟云卿,稳健样本,21,306,True,False,11,35.947712418300654,9,42.857142857142854,5,16.339869281045754,3,9.803921568627452,0,0.0,3,14.285714285714285,2,9.523809523809524,0,0.0,0.45454545454545453,0.2727272727272727,0.3333333333333333,0.2222222222222222,0.7346440000000001,0.71801,0.797548,0.7323296666666667,0.71801,0.797548,72.0,3.0,7.0,5.0
刘复,刘复,稳健样本,16,185,True,False,9,48.64864864864865,6,37.5,3,16.216216216216218,2,10.81081081081081,2,10.81081081081081,3,18.75,2,12.5,2,12.5,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.7233893333333333,0.69735,0.869222,0.7482004999999999,0.732219,0.869222,73.0,4.0,2.0,1.0
贺知章,贺知章,稳健样本,21,187,True,False,10,53.475935828877006,5,23.809523809523807,3,16.0427807486631,2,10.695187165775401,1,5.347593582887701,2,9.523809523809524,2,9.523809523809524,1,4.761904761904762,0.3,0.2,0.4,0.4,0.7086008,0.6878205,0.91163,0.7564202,0.711784,0.91163,74.0,5.0,3.0,10.0
王睿,王睿,稳健样本,11,72,True,False,1,13.888888888888888,1,9.090909090909092,1,13.888888888888888,1,13.888888888888888,1,13.888888888888888,1,9.090909090909092,1,9.090909090909092,1,9.090909090909092,1.0,1.0,1.0,1.0,0.800535,0.800535,0.800535,0.800535,0.800535,0.800535,80.0,6.0,1.0,11.0
窦庠,窦庠,稳健样本,20,251,True,False,14,55.776892430278885,6,30.0,3,11.952191235059761,1,3.9840637450199203,1,3.9840637450199203,2,10.0,1,5.0,1,5.0,0.21428571428571427,0.07142857142857142,0.3333333333333333,0.16666666666666666,0.6586777857142857,0.637688,0.831326,0.7043941666666665,0.679554,0.831326,85.0,7.0,29.0,8.0
崔融,崔融1,稳健样本,19,252,True,False,11,43.650793650793645,9,47.368421052631575,3,11.904761904761903,2,7.936507936507936,1,3.968253968253968,3,15.789473684210526,1,5.263157894736842,1,5.263157894736842,0.2727272727272727,0.18181818181818182,0.3333333333333333,0.1111111111111111,0.6838745454545454,0.662832,0.820234,0.6978611111111112,0.678782,0.820234,86.0,8.0,9.0,3.0
陈去疾,陈去疾,稳健样本,12,84,True,False,1,11.904761904761903,1,8.333333333333332,1,11.904761904761903,0,0.0,0,0.0,1,8.333333333333332,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.769011,0.769011,0.769011,0.769011,0.769011,0.769011,86.0,8.0,122.0,14.0
邵谒,邵谒,稳健样本,33,354,True,False,25,70.62146892655367,14,42.42424242424242,4,11.299435028248588,2,5.649717514124294,1,2.824858757062147,3,9.090909090909092,2,6.0606060606060606,1,3.0303030303030303,0.16,0.08,0.21428571428571427,0.14285714285714285,0.6884268400000001,0.686675,0.832851,0.7103764285714286,0.704113,0.832851,90.0,10.0,17.0,11.0
孟迟,孟迟,稳健样本,18,90,True,False,5,55.55555555555555,3,16.666666666666664,1,11.11111111111111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.7040006,0.721404,0.745048,0.7056426666666668,0.725566,0.745048,91.0,11.0,122.0,155.0
卢肇,卢肇,稳健样本,29,283,True,False,6,21.20141342756184,4,13.793103448275861,3,10.60070671378092,1,3.5335689045936394,1,3.5335689045936394,1,3.4482758620689653,1,3.4482758620689653,1,3.4482758620689653,0.5,0.16666666666666666,0.25,0.25,0.7261881666666667,0.6981415,0.950043,0.71002425,0.645943,0.950043,93.0,12.0,33.0,54.0
陶翰,陶翰,稳健样本,18,284,True,False,6,21.12676056338028,4,22.22222222222222,3,10.56338028169014,1,3.5211267605633805,0,0.0,3,16.666666666666664,1,5.555555555555555,0,0.0,0.5,0.16666666666666666,0.75,0.25,0.7445786666666666,0.7448565,0.799606,0.76260675,0.7594065,0.799606,94.0,13.0,34.0,2.0
李乂,李乂,稳健样本,44,380,True,False,11,28.94736842105263,10,22.727272727272727,4,10.526315789473683,2,5.263157894736842,1,2.631578947368421,3,6.8181818181818175,1,2.272727272727273,1,2.272727272727273,0.36363636363636365,0.18181818181818182,0.3,0.1,0.7125663636363636,0.712777,0.81301,0.7164619,0.7232974999999999,0.81301,95.0,14.0,18.0,21.0
李适,李适,稳健样本,15,194,True,False,4,20.61855670103093,3,20.0,2,10.309278350515465,0,0.0,0,0.0,1,6.666666666666667,0,0.0,0,0.0,0.5,0.0,0.3333333333333333,0.0,0.71167675,0.729148,0.753822,0.7130853333333333,0.750845,0.753822,96.0,15.0,122.0,22.0
崔日用,崔日用,稳健样本,13,99,True,False,4,40.40404040404041,3,23.076923076923077,1,10.101010101010102,0,0.0,0,0.0,1,7.6923076923076925,0,0.0,0,0.0,0.25,0.0,0.3333333333333333,0.0,0.669722,0.653285,0.771707,0.6881349999999999,0.692087,0.771707,97.0,16.0,122.0,16.0
魏徵,魏徵,稳健样本,36,304,True,False,9,29.605263157894736,8,22.22222222222222,3,9.868421052631579,3,9.868421052631579,0,0.0,3,8.333333333333332,0,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.0,0.7007236666666666,0.726092,0.782102,0.70739475,0.7289135,0.782102,98.0,17.0,6.0,14.0
佚名,佚名,大样本,840,4653,True,True,166,35.675908016333544,139,16.547619047619047,44,9.456264775413711,31,6.662368364496023,25,5.372877713303246,33,3.9285714285714284,22,2.619047619047619,21,2.5,0.26506024096385544,0.18674698795180722,0.23741007194244604,0.15827338129496402,0.7029852108433735,0.681746,0.977369,0.7043472446043165,0.681895,0.977369,99.0,18.0,13.0,46.0
萧颖士,萧颖士,稳健样本,19,466,True,False,10,21.459227467811157,5,26.31578947368421,4,8.583690987124463,3,6.437768240343348,0,0.0,3,15.789473684210526,2,10.526315789473683,0,0.0,0.4,0.3,0.6,0.4,0.7231603,0.7372125,0.79934,0.7301828,0.776433,0.79934,102.0,19.0,14.0,3.0
