作者规范,作者,样本规模标记,total_poem_count,total_line_count,稳健密度样本,大样本密度样本,candidate_line_count,候选句密度_每千句,matched_poem_count,候选诗密度_每百首,line_p90_count,句级p90互文密度_每千句,line_p95_count,句级p95互文密度_每千句,line_ge08_count,句级0.8互文密度_每千句,poem_p90_count,诗级p90互文密度_每百首,poem_p95_count,诗级p95互文密度_每百首,poem_ge08_count,诗级0.8互文密度_每百首,候选句转p90率,候选句转p95率,候选诗转p90率,候选诗转p95率,line_best_mean,line_best_median,line_best_max,poem_best_mean,poem_best_median,poem_best_max,句级p90密度排名_全体,句级p90密度排名_稳健,句级p95密度排名_稳健,诗级p90密度排名_稳健
白居易,白居易,大样本,2643,33303,True,True,1369,41.10740774104435,785,29.701097237987135,161,4.834399303366062,67,2.0118307659970576,30,0.9008197459688316,107,4.048429814604615,44,1.6647748770336739,29,1.0972379871358307,0.11760409057706354,0.04894083272461651,0.13630573248407643,0.05605095541401274,0.6672860796201607,0.665314,0.925862,0.6782619694267517,0.676668,0.925862,135.0,46.0,58.0,44.0
李白,李白,大样本,896,15477,True,True,602,38.89642695612845,340,37.94642857142857,71,4.587452348646379,37,2.3906441816889576,20,1.2922400982102475,53,5.915178571428571,29,3.2366071428571432,20,2.232142857142857,0.11794019933554817,0.061461794019933555,0.15588235294117647,0.08529411764705883,0.6674915016611296,0.6652155,0.858565,0.6864913235294118,0.6821025000000001,0.858565,142.0,53.0,47.0,29.0
杜甫,杜甫,大样本,1158,19576,True,True,464,23.702492848385777,306,26.42487046632124,47,2.40089906007356,25,1.2770739681242336,14,0.7151614221495709,42,3.6269430051813467,23,1.9861830742659756,14,1.2089810017271159,0.10129310344827586,0.05387931034482758,0.13725490196078433,0.07516339869281045,0.6659159310344827,0.662214,0.886258,0.6767574215686275,0.6740065,0.886258,187.0,98.0,78.0,52.0
佚名,佚名,大样本,840,4653,True,True,166,35.675908016333544,139,16.547619047619047,44,9.456264775413711,31,6.662368364496023,25,5.372877713303246,33,3.9285714285714284,22,2.619047619047619,21,2.5,0.26506024096385544,0.18674698795180722,0.23741007194244604,0.15827338129496402,0.7029852108433735,0.681746,0.977369,0.7043472446043165,0.681895,0.977369,99.0,18.0,13.0,46.0
贯休,贯休,大样本,553,7120,True,True,272,38.20224719101124,167,30.198915009041592,32,4.49438202247191,21,2.949438202247191,7,0.9831460674157304,25,4.520795660036167,15,2.7124773960216997,7,1.2658227848101267,0.11764705882352941,0.07720588235294118,0.1497005988023952,0.08982035928143713,0.6668738676470588,0.6625115,0.888025,0.6818553832335329,0.669026,0.888025,144.0,55.0,40.0,41.0
元稹,元稹,大样本,593,11812,True,True,325,27.514392143582796,166,27.99325463743676,24,2.031832035218422,12,1.015916017609211,4,0.3386386725364037,20,3.372681281618887,10,1.6863406408094435,4,0.6745362563237773,0.07384615384615385,0.036923076923076927,0.12048192771084337,0.060240963855421686,0.6550502215384616,0.656611,0.859346,0.6699185903614457,0.6709149999999999,0.859346,201.0,111.0,88.0,56.0
孟郊,孟郊,大样本,402,6441,True,True,184,28.566992702996426,127,31.592039800995025,18,2.794597112249651,7,1.0867877658748641,3,0.4657661853749418,14,3.482587064676617,4,0.9950248756218906,3,0.7462686567164178,0.09782608695652174,0.03804347826086957,0.11023622047244094,0.031496062992125984,0.670800820652174,0.665781,0.865447,0.6805996141732283,0.684793,0.865447,173.0,84.0,86.0,53.0
顾况,顾况,大样本,235,2441,True,True,110,45.06349856616141,68,28.936170212765955,18,7.37402703809914,9,3.68701351904957,5,2.048340843916428,9,3.829787234042553,5,2.127659574468085,4,1.702127659574468,0.16363636363636364,0.08181818181818182,0.1323529411764706,0.07352941176470588,0.6691437363636364,0.661813,0.869718,0.6819610882352941,0.66593,0.869718,112.0,28.0,32.0,50.0
高適,高適,大样本,208,3550,True,True,127,35.774647887323944,83,39.90384615384615,17,4.788732394366197,10,2.8169014084507045,8,2.2535211267605635,13,6.25,8,3.8461538461538463,7,3.3653846153846154,0.13385826771653545,0.07874015748031496,0.1566265060240964,0.0963855421686747,0.6715985433070866,0.66865,0.893403,0.6853130843373494,0.676804,0.893403,137.0,48.0,42.0,26.0
陆龟蒙,陆龟蒙,大样本,502,6183,True,True,128,20.701924632055636,89,17.729083665338646,17,2.749474365194889,7,1.1321365033155426,4,0.6469351447517386,12,2.3904382470119523,4,0.796812749003984,4,0.796812749003984,0.1328125,0.0546875,0.1348314606741573,0.0449438202247191,0.6638175,0.6510370000000001,0.851597,0.6719842134831461,0.661103,0.851597,175.0,86.0,84.0,86.0
