作者规范,六帖部类,高值句数,最高相似度,平均相似度,代表诗题,代表诗句,代表六帖词条,代表六帖注文,代表相似度,total_line_count,line_p90_count,句级p90互文密度_每千句,样本规模标记,部类高值密度_每千句,部类占诗人高值比例,诗人内部类高值排名
裴交泰,月,2,0.755936,0.755936,相和歌辞。长门怨,一种蛾眉明月夜,蛾眉,纖纖似玉鉤，娟娟若蛾眉，謂初月。,0.755936,8,2,250.0,小样本,250.0,1.0,1.0
武昌妓,離别,1,0.840199,0.840199,续韦蟾句,悲莫悲兮生别离,悲莫悲於生別離,《楚辭》。,0.840199,4,1,250.0,小样本,250.0,1.0,1.0
成真人,仙,1,0.829405,0.829405,题壁,本拟白日升天,白日升天,,0.829405,4,1,250.0,小样本,250.0,1.0,1.0
长须国驸马,粟,1,0.7814,0.7814,长须国驸马咏妻,未必不如惣有,有秕,若苗之有秀，若粟之有秕。,0.7814,4,1,250.0,小样本,250.0,1.0,1.0
天峤游人,仙,1,0.763839,0.763839,题邓仙客墓,既言白日升仙去,白日升天,,0.763839,4,1,250.0,小样本,250.0,1.0,1.0
河中鬼,魚,1,0.757581,0.757581,踏歌,河水流溷溷,河魴,《詩》：豈其食魚，必河之魴，必河之鯉。,0.757581,4,1,250.0,小样本,250.0,1.0,1.0
李昪,同官,1,0.753902,0.753902,咏灯,敢向尊前不尽心,敢不心盡,,0.753902,4,1,250.0,小样本,250.0,1.0,1.0
李遐周,游俠,1,0.749826,0.749826,题壁,燕市人皆去,燕市,荆軻飲燕市。,0.749826,4,1,250.0,小样本,250.0,1.0,1.0
韦表微,麟,5,0.901622,0.901622,池州夫子庙麟台,吁嗟麟兮,于嗟麟兮,,0.901622,40,6,150.0,小样本,125.0,0.8333333333333334,1.0
归登,祭祀,2,0.972149,0.972149,郊庙歌辞。享惠昭太子庙乐章。请神,祀事孔明,祀事孔明,,0.972149,16,2,125.0,小样本,125.0,1.0,1.0
王晙,禍福,2,0.97074,0.97074,郊庙歌辞。祭汾阴乐章。太和,降福穰穰,降福穰穰,,0.97074,16,2,125.0,小样本,125.0,1.0,1.0
崔玄童,德,2,0.837281,0.837281,郊庙歌辞。祭汾阴乐章。肃和,明德惟聪,德明惟明,,0.837281,16,2,125.0,小样本,125.0,1.0,1.0
唐怡,酒,1,0.785488,0.785488,述怀,惟余酒中趣,酒中趣,孟嘉嗜酒，人問之，荅曰：君未知酒中趣。,0.785488,8,1,125.0,小样本,125.0,1.0,1.0
李从谦,爭,1,0.771918,0.771918,观棋,争先各有心,爭心,叔向曰：「先王之議事，以制不為刑辟，懼有爭心。,0.771918,8,1,125.0,小样本,125.0,1.0,1.0
崔居俭,日,1,0.767713,0.767713,后唐宗庙乐舞辞,却日重光,重光,崔豹《古今注》曰：「漢明帝作太子樂，八歌四章，以贊太子，一曰日重光。」,0.767713,8,1,125.0,小样本,125.0,1.0,1.0
黄山隐,忠義,1,0.758964,0.758964,向竹吟,古者有七贤,七賢,袁秘為郡門下議生，從太守，趙謙擊黃巾軍，敗與功曹，封觀等七人以身捍刃，皆死。謙得免，詔復其門，號七賢。,0.758964,8,1,125.0,小样本,125.0,1.0,1.0
